LED_CHAMBER_2022
DATE: 2023-2-2
TIME: 13:11:44
(START)WAIT_TIME: 10 MIN
LED_RATE: 10
LED_VALUE: 0.0 10.0 20.0 30.0 40.0 50.0 60.0 70.0 80.0 90.0 100
CYCLE_COUNT: 120 CYCLE_MINUTE: 20.0 MINUTE
STIR_PUMP_RATE: 30 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
294 2 54 2023-2-2 14:10:55 253.7 24.01
295 2 55 2023-2-2 14:11:5 253.8 24.01
296 2 56 2023-2-2 14:11:15 253.12 24.03
297 2 57 2023-2-2 14:11:25 253.31 24.03
298 2 58 2023-2-2 14:11:35 253.0 24.03
299 2 59 2023-2-2 14:11:45 253.42 24.06
300 2 60 2023-2-2 14:11:55 252.99 24.06
301 2 61 2023-2-2 14:12:5 253.04 24.06
302 2 62 2023-2-2 14:12:15 252.96 24.09
303 2 63 2023-2-2 14:12:25 253.16 24.06
304 2 64 2023-2-2 14:12:35 253.53 24.09
305 2 65 2023-2-2 14:12:45 252.55 24.09
306 2 66 2023-2-2 14:12:55 252.31 24.09
307 2 67 2023-2-2 14:13:5 253.61 24.09
308 2 68 2023-2-2 14:13:15 253.41 24.09
309 2 69 2023-2-2 14:13:25 252.62 24.09
310 2 70 2023-2-2 14:13:35 252.83 24.12
311 2 71 2023-2-2 14:13:45 253.17 24.09
312 2 72 2023-2-2 14:13:55 253.38 24.12
313 2 73 2023-2-2 14:14:5 252.59 24.12
314 2 74 2023-2-2 14:14:15 252.74 24.12
315 2 75 2023-2-2 14:14:25 253.09 24.12
316 2 76 2023-2-2 14:14:35 253.21 24.12
317 2 77 2023-2-2 14:14:45 253.02 24.12
318 2 78 2023-2-2 14:14:55 252.78 24.12
319 2 79 2023-2-2 14:15:5 252.78 24.12
320 2 80 2023-2-2 14:15:15 254.01 24.12
321 2 81 2023-2-2 14:15:25 253.43 24.12
322 2 82 2023-2-2 14:15:35 252.38 24.12
323 2 83 2023-2-2 14:15:45 253.33 24.12
324 2 84 2023-2-2 14:15:55 253.62 24.12
325 2 85 2023-2-2 14:16:5 253.19 24.12
326 2 86 2023-2-2 14:16:15 253.17 24.12
327 2 87 2023-2-2 14:16:25 252.95 24.12
328 2 88 2023-2-2 14:16:35 253.94 24.09
329 2 89 2023-2-2 14:16:45 253.21 24.12
330 2 90 2023-2-2 14:16:55 253.0 24.12
331 2 91 2023-2-2 14:17:5 252.71 24.12
332 2 92 2023-2-2 14:17:15 253.07 24.12
333 2 93 2023-2-2 14:17:25 254.08 24.12
334 2 94 2023-2-2 14:17:35 253.13 24.09
335 2 95 2023-2-2 14:17:45 252.62 24.12
336 2 96 2023-2-2 14:17:55 253.69 24.12
337 2 97 2023-2-2 14:18:5 253.87 24.09
